trader_id,date,time,symbol,side,quantity,price,commission,total_amount
T001,2025-04-09,09:15:00,JPM,Buy,200,432.38,86.48,86562.48
T001,2025-04-13,14:36:00,JPM,Sell,200,446.73,86.48,89259.52
T001,2025-04-18,10:53:00,CSCO,Buy,100,457.18,45.72,45763.72
T001,2025-04-19,15:56:00,CSCO,Sell,100,444.71,45.72,44425.28
T001,2025-04-24,14:27:00,NVDA,Buy,100,131.78,13.18,13191.18
T001,2025-04-27,10:29:00,NVDA,Sell,100,138.68,13.18,13854.82
T001,2025-05-08,10:14:00,INTC,Buy,25,367.89,9.2,9206.45
T001,2025-05-12,11:34:00,INTC,Sell,25,394.58,9.2,9855.3
T001,2025-05-12,12:11:00,DIS,Buy,200,484.46,96.89,96988.89
T001,2025-05-15,15:29:00,WMT,Buy,25,491.32,12.28,12295.28
T001,2025-05-17,15:30:00,DIS,Sell,200,519.54,96.89,103811.11
T001,2025-05-19,13:36:00,WMT,Sell,25,541.01,12.28,13512.97
T001,2025-06-03,10:30:00,MA,Buy,10,303.79,3.04,3040.94
T001,2025-06-06,15:23:00,MA,Sell,10,312.7,3.04,3123.96
T001,2025-07-01,10:41:00,GOOGL,Buy,10,389.4,3.89,3897.89
T001,2025-07-03,15:01:00,GOOGL,Sell,10,373.45,3.89,3730.61
T001,2025-07-08,12:45:00,META,Buy,10,316.44,3.16,3167.56
T001,2025-07-09,11:48:00,SBUX,Buy,100,163.52,16.35,16368.35
T001,2025-07-09,12:00:00,ORCL,Buy,50,389.06,19.45,19472.45
T001,2025-07-10,09:44:00,META,Sell,10,308.02,3.16,3077.04
T001,2025-07-10,14:34:00,SBUX,Sell,100,165.57,16.35,16540.65
T001,2025-07-13,13:47:00,ORCL,Sell,50,377.31,19.45,18846.05
T001,2025-07-15,13:53:00,AAPL,Buy,50,179.11,8.96,8964.46
T001,2025-07-20,13:41:00,AAPL,Sell,50,188.37,8.96,9409.54
T001,2025-07-25,12:43:00,META,Buy,200,262.93,52.59,52638.59
T001,2025-07-26,10:47:00,KO,Buy,100,252.53,25.25,25278.25
T001,2025-07-27,14:05:00,META,Sell,200,243.73,52.59,48693.41
T001,2025-07-29,15:49:00,KO,Sell,100,239.78,25.25,23952.75
T001,2025-08-16,13:38:00,CRM,Buy,100,325.69,32.57,32601.57
T001,2025-08-21,12:53:00,CRM,Sell,100,321.18,32.57,32085.43
T001,2025-09-01,11:20:00,KO,Buy,25,423.83,10.6,10606.35
T001,2025-09-04,10:31:00,AMD,Buy,50,246.13,12.31,12318.81
T001,2025-09-05,10:48:00,KO,Sell,25,454.51,10.6,11352.15
T001,2025-09-05,14:45:00,AMZN,Buy,25,484.12,12.1,12115.1
T001,2025-09-06,11:36:00,AMZN,Sell,25,534.09,12.1,13340.15
T001,2025-09-07,14:43:00,AMD,Sell,50,275.85,12.31,13780.19
T001,2025-09-10,10:17:00,QCOM,Buy,10,371.1,3.71,3714.71
T001,2025-09-13,11:57:00,QCOM,Sell,10,402.02,3.71,4016.49
T001,2025-09-15,11:00:00,KO,Buy,100,420.05,42.01,42047.01
T001,2025-09-18,14:57:00,KO,Sell,100,472.62,42.01,47219.99
T001,2025-09-19,14:39:00,CRM,Buy,10,418.29,4.18,4187.08
T001,2025-09-22,10:51:00,CRM,Sell,10,384.37,4.18,3839.52
T001,2025-09-25,13:51:00,AMZN,Buy,200,402.19,80.44,80518.44
T001,2025-09-28,12:31:00,INTC,Buy,25,116.41,2.91,2913.16
T001,2025-09-28,13:29:00,MSFT,Buy,200,162.14,32.43,32460.43
